1,1,0,12,1,3,24.8
1,8,19,36,1,3,25.6
1,15,12,19,2,4,26.7
1,22,36,39,1,4,28.2
1,29,28,39,4,1,29.9
2,5,25,43,4,2,32
2,12,34,46,4,2,34.2
2,19,27,50,1,4,36.6
2,26,37,50,1,3,39.2
3,5,34,36,1,3,41.8
3,12,30,43,1,3,44.6
3,19,21,36,1,3,47.3
3,26,28,39,1,3,50.1
4,2,30,39,2,3,52.8
4,9,30,45,1,3,55.5
4,16,36,52,1,4,58
4,23,45,55,1,3,60.4
4,30,41,48,1,3,62.6
5,7,50,61,1,2,64.7
5,14,48,68,1,4,66.5
5,21,57,79,1,3,68
5,28,50,59,1,4,69.2
6,4,48,54,1,3,70.2
6,11,57,64,1,3,70.8
6,18,66,88,1,3,71.1
6,25,61,73,4,2,71.1
7,2,70,82,1,4,70.7
7,9,64,91,1,3,70
7,16,68,75,1,4,69
7,23,75,84,1,3,67.7
7,30,70,81,4,3,66.1
8,6,73,95,1,3,64.3
8,13,68,73,1,3,62.3
8,20,66,73,1,3,60
8,27,73,90,1,3,57.6
9,3,73,93,1,3,55.1
9,10,63,66,1,3,52.5
9,17,68,82,1,3,49.8
9,24,55,59,1,3,47.1
10,1,57,66,4,2,44.4
10,8,55,61,3,1,41.7
10,15,46,70,1,4,39.1
10,22,36,54,1,3,36.5
10,29,46,61,3,4,34.2
11,5,46,52,1,3,31.9
11,12,36,48,1,3,29.9
11,19,36,41,1,4,28.2
11,26,43,46,1,3,26.7
12,3,45,57,4,2,25.6
12,10,30,39,1,3,24.8
12,17,36,43,1,3,24.4
12,24,34,39,1,2,24.3
12,31,30,45,1,3,24.7
